               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12136,             0.11117,            0.086365,          0.00034061,           0.0074195,           0.0001838,          4.7867e-05,             0.12075,            0.088599,            0.087279,              0.0847,              0.0017,              0.0017
                   1,             0.11701,             0.12668,            0.085799,          0.00073778,            0.014087,          0.00045596,          6.7578e-05,              0.1128,              0.1002,            0.086378,            0.068327,           0.0033267,           0.0033267
